name,x,y
BE0 0,5.557657776371963,50.71097373686819
BE0 1,4.36305456109509,51.18551967914423
BE0 2,4.9896859712058905,50.808283305585036
BE0 3,5.723804065173548,49.99475407820011
BE0 4,4.331467005452102,50.65803128296503
EU lignite,-5.5,46.0
EU coal,-5.5,46.0
EU oil,-5.5,46.0
EU oil primary,-5.5,46.0
EU uranium,-5.5,46.0
EU,-5.5,46.0
co2 atmosphere,-5.5,46.0
co2 stored,-5.5,46.0
co2 sequestered,-5.5,46.0
BE0 0 gas,5.557657776371963,50.71097373686819
BE0 1 gas,4.36305456109509,51.18551967914423
BE0 2 gas,4.9896859712058905,50.808283305585036
BE0 3 gas,5.723804065173548,49.99475407820011
BE0 4 gas,4.331467005452102,50.65803128296503
BE0 0 H2,5.557657776371963,50.71097373686819
BE0 1 H2,4.36305456109509,51.18551967914423
BE0 2 H2,4.9896859712058905,50.808283305585036
BE0 3 H2,5.723804065173548,49.99475407820011
BE0 4 H2,4.331467005452102,50.65803128296503
BE0 0 battery,5.557657776371963,50.71097373686819
BE0 1 battery,4.36305456109509,51.18551967914423
BE0 2 battery,4.9896859712058905,50.808283305585036
BE0 3 battery,5.723804065173548,49.99475407820011
BE0 4 battery,4.331467005452102,50.65803128296503
BE0 0 EV battery,5.557657776371963,50.71097373686819
BE0 1 EV battery,4.36305456109509,51.18551967914423
BE0 2 EV battery,4.9896859712058905,50.808283305585036
BE0 3 EV battery,5.723804065173548,49.99475407820011
BE0 4 EV battery,4.331467005452102,50.65803128296503
EU land transport oil,-5.5,46.0
BE0 0 urban central heat,5.557657776371963,50.71097373686819
BE0 1 urban central heat,4.36305456109509,51.18551967914423
BE0 2 urban central heat,4.9896859712058905,50.808283305585036
BE0 3 urban central heat,5.723804065173548,49.99475407820011
BE0 4 urban central heat,4.331467005452102,50.65803128296503
BE0 0 urban central water tanks,5.557657776371963,50.71097373686819
BE0 1 urban central water tanks,4.36305456109509,51.18551967914423
BE0 2 urban central water tanks,4.9896859712058905,50.808283305585036
BE0 3 urban central water tanks,5.723804065173548,49.99475407820011
BE0 4 urban central water tanks,4.331467005452102,50.65803128296503
BE0 0 urban central water pits,5.557657776371963,50.71097373686819
BE0 1 urban central water pits,4.36305456109509,51.18551967914423
BE0 2 urban central water pits,4.9896859712058905,50.808283305585036
BE0 3 urban central water pits,5.723804065173548,49.99475407820011
BE0 4 urban central water pits,4.331467005452102,50.65803128296503
BE0 0 urban central aquifer thermal energy storage,5.557657776371963,50.71097373686819
BE0 1 urban central aquifer thermal energy storage,4.36305456109509,51.18551967914423
BE0 2 urban central aquifer thermal energy storage,4.9896859712058905,50.808283305585036
BE0 3 urban central aquifer thermal energy storage,5.723804065173548,49.99475407820011
BE0 4 urban central aquifer thermal energy storage,4.331467005452102,50.65803128296503
